"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
2;"REF**,REF**,REF**,REF**";"MountingHole_2.2mm_M2_DIN965";4;"MountingHole_2.2mm_M2_DIN965";;;
3;"J2";"CUI_RCJ-042";1;"Conn_Coaxial";;;
4;"R1";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"2.2K";;;
5;"R2,R4,R3";"R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal";3;"2.2K";;;
6;"C6,C7,C3,C4";"CP_Radial_D10.0mm_P3.80mm";4;"2200uF";;;
7;"J4,J3";"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal";2;"Conn_01x02";;;
8;"R8,R7";"R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal";2;"100";;;
9;"R6,R5";"R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal";2;"3.9K";;;
10;"U2";"Converter_DCDC_muRata_NMAxxxxSC_THT";1;"NMA0515SC";;;
11;"U1";"DIP-8_W7.62mm";1;"THAT1512";;;
12;"C1,C2,C5";"C_Disc_D8.0mm_W5.0mm_P5.00mm";3;"22uF";;;
